val_loss,epoch,step,train_loss
14.429082870483398,0,99,
,0,99,11.780065536499023
14.563919067382812,1,199,
,1,199,11.655755996704102
14.352980613708496,2,299,
,2,299,11.467209815979004
14.558545112609863,3,399,
,3,399,11.319558143615723
14.274954795837402,4,499,
,4,499,11.334670066833496
14.222441673278809,5,599,
,5,599,11.348570823669434
14.271673202514648,6,699,
,6,699,11.288228988647461
15.065728187561035,7,799,
,7,799,11.286934852600098
14.457123756408691,8,899,
,8,899,11.268803596496582
14.026894569396973,9,999,
,9,999,11.26881217956543
13.768548965454102,10,1099,
,10,1099,11.307921409606934
13.884516716003418,11,1199,
,11,1199,11.32362174987793
13.993817329406738,12,1299,
,12,1299,11.29418659210205
14.270256996154785,13,1399,
,13,1399,11.293547630310059
13.445467948913574,14,1499,
,14,1499,11.265089988708496
13.571640968322754,15,1599,
,15,1599,11.202947616577148
13.79486083984375,16,1699,
,16,1699,11.284891128540039
14.332822799682617,17,1799,
,17,1799,11.279414176940918
13.383963584899902,18,1899,
,18,1899,11.354122161865234
13.303060531616211,19,1999,
,19,1999,11.314772605895996
12.817028045654297,20,2099,
,20,2099,11.321798324584961
12.617134094238281,21,2199,
,21,2199,11.279518127441406
13.28543758392334,22,2299,
,22,2299,11.292166709899902
13.141483306884766,23,2399,
,23,2399,11.34522819519043
12.794222831726074,24,2499,
,24,2499,11.285492897033691
12.374247550964355,25,2599,
,25,2599,11.26455307006836
12.25851058959961,26,2699,
,26,2699,11.421945571899414
12.498498916625977,27,2799,
,27,2799,11.2431001663208
12.746394157409668,28,2899,
,28,2899,11.369195938110352
12.328652381896973,29,2999,
,29,2999,11.250365257263184
12.604828834533691,30,3099,
,30,3099,11.287349700927734
12.056751251220703,31,3199,
,31,3199,11.289405822753906
12.32533073425293,32,3299,
,32,3299,11.323092460632324
11.957745552062988,33,3399,
,33,3399,11.271574974060059
12.726142883300781,34,3499,
,34,3499,11.264015197753906
12.023767471313477,35,3599,
,35,3599,11.270923614501953
12.356596946716309,36,3699,
,36,3699,11.289695739746094
12.407747268676758,37,3799,
,37,3799,11.400997161865234
12.11373519897461,38,3899,
,38,3899,11.300660133361816
