val_loss,epoch,step,train_loss
14.66538143157959,0,99,
,0,99,11.938549995422363
14.8368501663208,1,199,
,1,199,11.697915077209473
15.497370719909668,2,299,
,2,299,11.4429931640625
15.123919486999512,3,399,
,3,399,11.325343132019043
14.61196517944336,4,499,
,4,499,11.364521026611328
14.64905071258545,5,599,
,5,599,11.307537078857422
14.746953964233398,6,699,
,6,699,11.327475547790527
14.725410461425781,7,799,
,7,799,11.307916641235352
14.835376739501953,8,899,
,8,899,11.313345909118652
14.49357795715332,9,999,
,9,999,11.309439659118652
14.516809463500977,10,1099,
,10,1099,11.333392143249512
15.394046783447266,11,1199,
,11,1199,11.304787635803223
14.48398494720459,12,1299,
,12,1299,11.297163963317871
14.325606346130371,13,1399,
,13,1399,11.288865089416504
14.524325370788574,14,1499,
,14,1499,11.311585426330566
14.611563682556152,15,1599,
,15,1599,11.306122779846191
14.298690795898438,16,1699,
,16,1699,11.32087516784668
13.90257740020752,17,1799,
,17,1799,11.2964506149292
14.120339393615723,18,1899,
,18,1899,11.33935832977295
14.275766372680664,19,1999,
,19,1999,11.339351654052734
13.607248306274414,20,2099,
,20,2099,11.36054801940918
13.637389183044434,21,2199,
,21,2199,11.383299827575684
13.887436866760254,22,2299,
,22,2299,11.320722579956055
13.351085662841797,23,2399,
,23,2399,11.329917907714844
12.795865058898926,24,2499,
,24,2499,11.314226150512695
14.06519603729248,25,2599,
,25,2599,11.285935401916504
15.026859283447266,26,2699,
,26,2699,11.301628112792969
14.758532524108887,27,2799,
,27,2799,11.278451919555664
13.603991508483887,28,2899,
,28,2899,11.443312644958496
14.063314437866211,29,2999,
,29,2999,11.379446029663086
