step,val_loss,epoch,train_loss
99,14.036951065063477,0,
99,,0,11.973628997802734
199,13.453469276428223,1,
199,,1,11.761028289794922
299,14.901350975036621,2,
299,,2,11.654047966003418
399,14.213418006896973,3,
399,,3,11.378059387207031
499,14.33676815032959,4,
499,,4,11.339783668518066
599,13.914745330810547,5,
599,,5,11.29620361328125
699,13.616791725158691,6,
699,,6,11.337864875793457
