step,epoch,val_loss,train_loss
99,0,13.608870506286621,
99,0,,11.868239402770996
199,1,14.386253356933594,
199,1,,11.605720520019531
299,2,14.88543701171875,
299,2,,11.394495964050293
399,3,14.885176658630371,
399,3,,11.34216022491455
499,4,13.718137741088867,
499,4,,11.296363830566406
599,5,14.02699089050293,
599,5,,11.270289421081543
