val_loss,epoch,step,train_loss
14.715108871459961,0,99,
,0,99,11.785561561584473
14.498223304748535,1,199,
,1,199,11.504654884338379
14.769444465637207,2,299,
,2,299,11.587004661560059
14.583101272583008,3,399,
,3,399,11.5152006149292
14.84744644165039,4,499,
,4,499,11.507320404052734
14.258234024047852,5,599,
,5,599,11.509177207946777
14.129783630371094,6,699,
,6,699,11.542326927185059
14.320207595825195,7,799,
,7,799,11.549200057983398
14.665131568908691,8,899,
,8,899,11.49120807647705
14.212823867797852,9,999,
,9,999,11.506086349487305
13.76331901550293,10,1099,
,10,1099,11.543129920959473
14.423333168029785,11,1199,
,11,1199,11.525142669677734
14.240131378173828,12,1299,
,12,1299,11.505545616149902
14.225553512573242,13,1399,
,13,1399,11.519582748413086
13.389740943908691,14,1499,
,14,1499,11.569716453552246
14.244115829467773,15,1599,
,15,1599,11.652427673339844
13.819514274597168,16,1699,
,16,1699,11.5176362991333
13.736968994140625,17,1799,
,17,1799,11.519915580749512
14.015617370605469,18,1899,
,18,1899,11.504317283630371
13.717467308044434,19,1999,
,19,1999,11.526544570922852
