step,epoch,val_loss,train_loss
99,0,12.572884559631348,
99,0,,11.286630630493164
199,1,12.8311185836792,
199,1,,10.901098251342773
299,2,13.107751846313477,
299,2,,10.948029518127441
399,3,12.946208000183105,
399,3,,10.814949035644531
499,4,13.160844802856445,
499,4,,10.580972671508789
599,5,13.18380355834961,
599,5,,10.584888458251953
