_id,Spec_No,S_W_No,Date,Common Name ,Scientific Name ,County,Latitude,Longitude,Location,Grid ref,Mass_Single,Sex,Length Approx,Length Imp,Length et,Condition,in Collections,year,sequ,lett,Entered,Updated,Count,MCS,BMNH,Rect_CoNAord_,Other refs,age,Old County,GRef Source,By Catch,Rep_Source,JBaker,CBRU,Other,Comb_other_ref,Year_val,Month_val,Day_val,Aggregated_Date,Fam_Genus,species,Country Code,Comment
6226,967,1931/18,25/07/1931,Harbour porpoise,Phocoena phocoena,"Wexford, EIRE",52.1925,-6.8326,"Baginbun Point, Fethard",NA,S,NA,No,5'6'',1.68,NA,NA,1931,18,NA,02-Nov-90,23-Dec-08,1970,ZK0085,ZK0085,NA,NA,NA,S.Ireland,*NA,NA,NA,NA,NA,NA,NA,1931,7,25,19310725,Phocoena,phocoena,5,Common Porpoise
6227,968,1931/19,31/07/1931,Unknown odontocete  ,Unknown odontocete ,Sussex,50.7228,-0.7919,Selsey,SZ853921,S,NA,NA,NA,NA,decayed,NA,1931,19,NA,02-Nov-90,23-Dec-08,1640,ZK0040,ZK0127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1931,7,31,19310731,odontocete,sp.indet.,1,Unidentified Odontocetes
6228,969,1931/20,07/08/1931,Harbour porpoise,Phocoena phocoena,Cornwall,50.0789,-5.7014,"Sennen Cove, (caught near)",SW352264,S,NA,No,6'3'',1.91,NA,NA,1931,20,NA,02-Nov-90,23-Dec-08,1971,ZK0085,ZK0085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1931,8,7,19310807,Phocoena,phocoena,1,Common Porpoise
6229,970,1931/21,10/08/1931,Unknown odontocete  ,Unknown odontocete ,Devon,51.0576,-4.1933,Appledore,SS463309,S,NA,NA,NA,NA,NA,NA,1931,21,NA,02-Nov-90,23-Dec-08,1641,ZK0040,ZK0127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1931,8,10,19310810,odontocete,sp.indet.,1,Unidentified Odontocetes
6230,971,1931/22,10/08/1931,Unknown odontocete  ,Unknown odontocete ,Cornwall,50.3611,-4.3193,"Portwrinkle, between Portwrinkle and Downderry",SX351538,S,NA,No,6'4'',1.93,decayed,NA,1931,22,NA,02-Nov-90,23-Dec-08,1642,ZK0040,ZK0127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1931,8,10,19310810,odontocete,sp.indet.,1,Unidentified Odontocetes
6231,972,1931/23,16/08/1931,Unknown odontocete  ,Unknown odontocete ,Northumberland,55.1281,-1.4961,Blyth,NZ322816,S,NA,No,5',1.52,decayed,NA,1931,23,NA,02-Nov-90,23-Dec-08,1643,ZK0040,ZK0127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1931,8,16,19310816,odontocete,sp.indet.,1,Unidentified Odontocetes
6232,973,1931/24,16/08/1931,Unknown odontocete  ,Unknown odontocete ,Durham,54.9711,-1.3604,"Marsden, South Shields",NZ410642,S,NA,No,5'6'',1.68,decayed,NA,1931,24,NA,02-Nov-90,23-Dec-08,1644,ZK0040,ZK0127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1931,8,16,19310816,odontocete,sp.indet.,1,Unidentified Odontocetes
6233,974,1931/25,20/08/1931,Harbour porpoise,Phocoena phocoena,Cornwall,50.1009,-5.4182,"Prussia Cove, Marazion",SW556279,S,F,No,5'0'',1.52,NA,NA,1931,25,NA,02-Nov-90,23-Dec-08,1972,ZK0085,ZK0085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1931,8,20,19310820,Phocoena,phocoena,1,Common Porpoise
6234,975,1931/26,18/08/1931,Unknown odontocete  ,Unknown odontocete ,Northumberland,55.1303,-1.4953,Blyth,NZ322818,S,NA,NA,NA,NA,decayed,NA,1931,26,NA,02-Nov-90,23-Dec-08,1645,ZK0040,ZK0127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1931,8,18,19310818,odontocete,sp.indet.,1,Unidentified Odontocetes
6235,976,1931/27,20/08/1931,Harbour porpoise,Phocoena phocoena,Cornwall,50.1246,-5.4817,Marazion,SW512307,S,NA,No,5',1.52,NA,NA,1931,27,NA,02-Nov-90,23-Dec-08,1973,ZK0085,ZK0085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1931,8,20,19310820,Phocoena,phocoena,1,Common Porpoise
6236,977,1931/28,26/08/1931,White-beaked dolphin,Lagenorhynchus albirostris,"Waterford, EIRE",52.0549,-7.5611,"Killanoorin, Helvick, Dungarvan",NA,S,NA,NA,NA,NA,NA,NA,1931,28,NA,02-Nov-90,23-Dec-08,106,ZK0059,ZK0059,NA,NA,NA,S.Ireland,*NA,NA,NA,NA,NA,NA,NA,1931,8,26,19310826,Lagenorhynchus,albirostris,5,White-beaked Dolphin
6237,978,1931/29,27/08/1931,Bottlenose whale,Hyperoodon ampullatus,"Galway, EIRE",53.1297,-9.6585,"Kilronan, Aran Island",NA,M,F,No,23',7.01,NA,NA,1931,29,NA,02-Nov-90,23-Dec-08,249,ZK0125,ZK0125,NA,NA,NA,S.Ireland,*NA,NA,NA,NA,NA,NA,NA,1931,8,27,19310827,Hyperoodon,ampullatus,5,Bottle-nosed Whale
6238,979,1931/29,27/08/1931,Bottlenose whale,Hyperoodon ampullatus,"Galway, EIRE",53.1297,-9.6585,"Kilronan, Aran Island",NA,M,M,No,20'6'',6.25,NA,NA,1931,29,NA,02-Nov-90,23-Dec-08,250,ZK0125,ZK0125,NA,NA,NA,S.Ireland,*NA,NA,NA,NA,NA,NA,NA,1931,8,27,19310827,Hyperoodon,ampullatus,5,Bottle-nosed Whale
6239,980,1931/30,27/08/1931,Unknown odontocete  ,Unknown odontocete ,Cornwall,50.3548,-4.4497,Looe,SX258534,S,NA,No,5'0'',1.52,NA,NA,1931,30,NA,02-Nov-90,23-Dec-08,1646,ZK0040,ZK0127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1931,8,27,19310827,odontocete,sp.indet.,1,Unidentified Odontocetes
6240,981,1931/31,26/08/1931,NA,NA,"Shetland Islands, Scotland",60.3136,-1.3655,Aith Voe,HU351590,S,NA,NA,NA,NA,NA,NA,1931,31,NA,02-Nov-90,23-Dec-08,2931,ZK0039,ZK0149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1931,8,26,19310826,cetacean,sp.indet.,2,Unidentified Cetaceans
6241,982,1931/32,02/09/1931,Common dolphin,Delphinus delphis,"Donegal, EIRE",54.9739,-8.4283,"Keadue Strand, Dungloe",NA,M,F,No,6'7'',2.01,alive,Entire on arrival,1931,32,NA,02-Nov-90,23-Dec-08,756,ZK0048,ZK0048,NA,NA,NA,S.Ireland,*NA,NA,Mr. J.F. Hewett.,NA,NA,NA,NA,1931,9,2,19310902,Delphinus,delphis,5,"a)Common dolphin. b)A shoal of over a hundred ... entered a small     estuary at high tide. Local fishermen cut off the retreat of several  of them with the result that twenty-eight were left stranded at low   tide. One was alive the following day in a small pool, and one was    still breathing on the sand."
6242,983,1931/32,02/09/1931,Common dolphin,Delphinus delphis,"Donegal, EIRE",54.9739,-8.4283,"Keadue Strand, Dungloe",NA,M,NA,NA,NA,NA,alive,NA,1931,32,NA,02-Nov-90,23-Dec-08,757,ZK0048,ZK0048,NA,NA,NA,S.Ireland,*NA,NA,Mr. J.F. Hewett.,NA,NA,NA,NA,1931,9,2,19310902,Delphinus,delphis,5,Common dolphin
6243,984,1931/32,02/09/1931,Common dolphin,Delphinus delphis,"Donegal, EIRE",54.9739,-8.4283,"Keadue Strand, Dungloe",NA,M,NA,NA,NA,NA,alive,NA,1931,32,NA,02-Nov-90,23-Dec-08,3681,ZK0048,ZK0048,NA,NA,NA,S.Ireland,*NA,NA,Mr. J.F. Hewett.,NA,NA,NA,NA,1931,9,2,19310902,Delphinus,delphis,5,Common dolphin
6244,985,1931/32,02/09/1931,Common dolphin,Delphinus delphis,"Donegal, EIRE",54.9739,-8.4283,"Keadue Strand, Dungloe",NA,M,NA,NA,NA,NA,alive,NA,1931,32,NA,02-Nov-90,23-Dec-08,3682,ZK0048,ZK0048,NA,NA,NA,S.Ireland,*NA,NA,Mr. J.F. Hewett.,NA,NA,NA,NA,1931,9,2,19310902,Delphinus,delphis,5,Common dolphin
6245,986,1931/32,02/09/1931,Common dolphin,Delphinus delphis,"Donegal, EIRE",54.9739,-8.4283,"Keadue Strand, Dungloe",NA,M,NA,NA,NA,NA,alive,NA,1931,32,NA,02-Nov-90,23-Dec-08,3683,ZK0048,ZK0048,NA,NA,NA,S.Ireland,*NA,NA,Mr. J.F. Hewett.,NA,NA,NA,NA,1931,9,2,19310902,Delphinus,delphis,5,Common dolphin
6246,987,1931/32,02/09/1931,Common dolphin,Delphinus delphis,"Donegal, EIRE",54.9739,-8.4283,"Keadue Strand, Dungloe",NA,M,NA,NA,NA,NA,alive,NA,1931,32,NA,02-Nov-90,23-Dec-08,3684,ZK0048,ZK0048,NA,NA,NA,S.Ireland,*NA,NA,Mr. J.F. Hewett.,NA,NA,NA,NA,1931,9,2,19310902,Delphinus,delphis,5,Common dolphin
6247,988,1931/32,02/09/1931,Common dolphin,Delphinus delphis,"Donegal, EIRE",54.9739,-8.4283,"Keadue Strand, Dungloe",NA,M,NA,NA,NA,NA,alive,NA,1931,32,NA,02-Nov-90,23-Dec-08,3685,ZK0048,ZK0048,NA,NA,NA,S.Ireland,*NA,NA,Mr. J.F. Hewett.,NA,NA,NA,NA,1931,9,2,19310902,Delphinus,delphis,5,Common dolphin
6248,989,1931/32,02/09/1931,Common dolphin,Delphinus delphis,"Donegal, EIRE",54.9739,-8.4283,"Keadue Strand, Dungloe",NA,M,NA,NA,NA,NA,alive,NA,1931,32,NA,02-Nov-90,23-Dec-08,3686,ZK0048,ZK0048,NA,NA,NA,S.Ireland,*NA,NA,Mr. J.F. Hewett.,NA,NA,NA,NA,1931,9,2,19310902,Delphinus,delphis,5,Common dolphin
6249,990,1931/32,02/09/1931,Common dolphin,Delphinus delphis,"Donegal, EIRE",54.9739,-8.4283,"Keadue Strand, Dungloe",NA,M,NA,NA,NA,NA,alive,NA,1931,32,NA,02-Nov-90,23-Dec-08,3687,ZK0048,ZK0048,NA,NA,NA,S.Ireland,*NA,NA,Mr. J.F. Hewett.,NA,NA,NA,NA,1931,9,2,19310902,Delphinus,delphis,5,Common dolphin
6250,991,1931/32,02/09/1931,Common dolphin,Delphinus delphis,"Donegal, EIRE",54.9739,-8.4283,"Keadue Strand, Dungloe",NA,M,NA,NA,NA,NA,alive,NA,1931,32,NA,02-Nov-90,23-Dec-08,3688,ZK0048,ZK0048,NA,NA,NA,S.Ireland,*NA,NA,Mr. J.F. Hewett.,NA,NA,NA,NA,1931,9,2,19310902,Delphinus,delphis,5,Common dolphin
6251,992,1931/32,02/09/1931,Common dolphin,Delphinus delphis,"Donegal, EIRE",54.9739,-8.4283,"Keadue Strand, Dungloe",NA,M,NA,NA,NA,NA,alive,NA,1931,32,NA,02-Nov-90,23-Dec-08,3689,ZK0048,ZK0048,NA,NA,NA,S.Ireland,*NA,NA,Mr. J.F. Hewett.,NA,NA,NA,NA,1931,9,2,19310902,Delphinus,delphis,5,Common dolphin
6252,993,1931/32,02/09/1931,Common dolphin,Delphinus delphis,"Donegal, EIRE",54.9739,-8.4283,"Keadue Strand, Dungloe",NA,M,NA,NA,NA,NA,alive,NA,1931,32,NA,02-Nov-90,23-Dec-08,3690,ZK0048,ZK0048,NA,NA,NA,S.Ireland,*NA,NA,Mr. J.F. Hewett.,NA,NA,NA,NA,1931,9,2,19310902,Delphinus,delphis,5,Common dolphin
6253,994,1931/32,02/09/1931,Common dolphin,Delphinus delphis,"Donegal, EIRE",54.9739,-8.4283,"Keadue Strand, Dungloe",NA,M,NA,NA,NA,NA,alive,NA,1931,32,NA,02-Nov-90,23-Dec-08,3691,ZK0048,ZK0048,NA,NA,NA,S.Ireland,*NA,NA,Mr. J.F. Hewett.,NA,NA,NA,NA,1931,9,2,19310902,Delphinus,delphis,5,Common dolphin
6254,995,1931/32,02/09/1931,Common dolphin,Delphinus delphis,"Donegal, EIRE",54.9739,-8.4283,"Keadue Strand, Dungloe",NA,M,NA,NA,NA,NA,alive,NA,1931,32,NA,02-Nov-90,23-Dec-08,3692,ZK0048,ZK0048,NA,NA,NA,S.Ireland,*NA,NA,Mr. J.F. Hewett.,NA,NA,NA,NA,1931,9,2,19310902,Delphinus,delphis,5,Common dolphin
6255,996,1931/32,02/09/1931,Common dolphin,Delphinus delphis,"Donegal, EIRE",54.9739,-8.4283,"Keadue Strand, Dungloe",NA,M,NA,NA,NA,NA,alive,NA,1931,32,NA,02-Nov-90,23-Dec-08,3693,ZK0048,ZK0048,NA,NA,NA,S.Ireland,*NA,NA,Mr. J.F. Hewett.,NA,NA,NA,NA,1931,9,2,19310902,Delphinus,delphis,5,Common dolphin
6256,997,1931/32,02/09/1931,Common dolphin,Delphinus delphis,"Donegal, EIRE",54.9739,-8.4283,"Keadue Strand, Dungloe",NA,M,NA,NA,NA,NA,alive,NA,1931,32,NA,02-Nov-90,23-Dec-08,3694,ZK0048,ZK0048,NA,NA,NA,S.Ireland,*NA,NA,Mr. J.F. Hewett.,NA,NA,NA,NA,1931,9,2,19310902,Delphinus,delphis,5,Common dolphin
6257,998,1931/32,02/09/1931,Common dolphin,Delphinus delphis,"Donegal, EIRE",54.9739,-8.4283,"Keadue Strand, Dungloe",NA,M,NA,NA,NA,NA,alive,NA,1931,32,NA,02-Nov-90,23-Dec-08,3695,ZK0048,ZK0048,NA,NA,NA,S.Ireland,*NA,NA,Mr. J.F. Hewett.,NA,NA,NA,NA,1931,9,2,19310902,Delphinus,delphis,5,Common dolphin
6258,999,1931/32,02/09/1931,Common dolphin,Delphinus delphis,"Donegal, EIRE",54.9739,-8.4283,"Keadue Strand, Dungloe",NA,M,NA,NA,NA,NA,alive,NA,1931,32,NA,02-Nov-90,23-Dec-08,3696,ZK0048,ZK0048,NA,NA,NA,S.Ireland,*NA,NA,Mr. J.F. Hewett.,NA,NA,NA,NA,1931,9,2,19310902,Delphinus,delphis,5,Common dolphin
6259,1000,1931/32,02/09/1931,Common dolphin,Delphinus delphis,"Donegal, EIRE",54.9739,-8.4283,"Keadue Strand, Dungloe",NA,M,NA,NA,NA,NA,alive,NA,1931,32,NA,02-Nov-90,23-Dec-08,3697,ZK0048,ZK0048,NA,NA,NA,S.Ireland,*NA,NA,Mr. J.F. Hewett.,NA,NA,NA,NA,1931,9,2,19310902,Delphinus,delphis,5,Common dolphin
6260,1001,1931/32,02/09/1931,Common dolphin,Delphinus delphis,"Donegal, EIRE",54.9739,-8.4283,"Keadue Strand, Dungloe",NA,M,NA,NA,NA,NA,alive,NA,1931,32,NA,02-Nov-90,23-Dec-08,3698,ZK0048,ZK0048,NA,NA,NA,S.Ireland,*NA,NA,Mr. J.F. Hewett.,NA,NA,NA,NA,1931,9,2,19310902,Delphinus,delphis,5,Common dolphin
6261,1002,1931/32,02/09/1931,Common dolphin,Delphinus delphis,"Donegal, EIRE",54.9739,-8.4283,"Keadue Strand, Dungloe",NA,M,NA,NA,NA,NA,alive,NA,1931,32,NA,02-Nov-90,23-Dec-08,3699,ZK0048,ZK0048,NA,NA,NA,S.Ireland,*NA,NA,Mr. J.F. Hewett.,NA,NA,NA,NA,1931,9,2,19310902,Delphinus,delphis,5,Common dolphin
6262,1003,1931/32,02/09/1931,Common dolphin,Delphinus delphis,"Donegal, EIRE",54.9739,-8.4283,"Keadue Strand, Dungloe",NA,M,NA,NA,NA,NA,alive,NA,1931,32,NA,02-Nov-90,23-Dec-08,3700,ZK0048,ZK0048,NA,NA,NA,S.Ireland,*NA,NA,Mr. J.F. Hewett.,NA,NA,NA,NA,1931,9,2,19310902,Delphinus,delphis,5,Common dolphin
6263,1004,1931/32,02/09/1931,Common dolphin,Delphinus delphis,"Donegal, EIRE",54.9739,-8.4283,"Keadue Strand, Dungloe",NA,M,NA,NA,NA,NA,alive,NA,1931,32,NA,02-Nov-90,23-Dec-08,3701,ZK0048,ZK0048,NA,NA,NA,S.Ireland,*NA,NA,Mr. J.F. Hewett.,NA,NA,NA,NA,1931,9,2,19310902,Delphinus,delphis,5,Common dolphin
6264,1005,1931/32,02/09/1931,Common dolphin,Delphinus delphis,"Donegal, EIRE",54.9739,-8.4283,"Keadue Strand, Dungloe",NA,M,NA,NA,NA,NA,alive,NA,1931,32,NA,02-Nov-90,23-Dec-08,3702,ZK0048,ZK0048,NA,NA,NA,S.Ireland,*NA,NA,Mr. J.F. Hewett.,NA,NA,NA,NA,1931,9,2,19310902,Delphinus,delphis,5,Common dolphin
6265,1006,1931/32,02/09/1931,Common dolphin,Delphinus delphis,"Donegal, EIRE",54.9739,-8.4283,"Keadue Strand, Dungloe",NA,M,NA,NA,NA,NA,alive,NA,1931,32,NA,02-Nov-90,23-Dec-08,3703,ZK0048,ZK0048,NA,NA,NA,S.Ireland,*NA,NA,Mr. J.F. Hewett.,NA,NA,NA,NA,1931,9,2,19310902,Delphinus,delphis,5,Common dolphin
6266,1007,1931/32,02/09/1931,Common dolphin,Delphinus delphis,"Donegal, EIRE",54.9739,-8.4283,"Keadue Strand, Dungloe",NA,M,NA,NA,NA,NA,alive,NA,1931,32,NA,02-Nov-90,23-Dec-08,3704,ZK0048,ZK0048,NA,NA,NA,S.Ireland,*NA,NA,Mr. J.F. Hewett.,NA,NA,NA,NA,1931,9,2,19310902,Delphinus,delphis,5,Common dolphin
6267,1008,1931/32,02/09/1931,Common dolphin,Delphinus delphis,"Donegal, EIRE",54.9739,-8.4283,"Keadue Strand, Dungloe",NA,M,NA,NA,NA,NA,alive,NA,1931,32,NA,02-Nov-90,23-Dec-08,3705,ZK0048,ZK0048,NA,NA,NA,S.Ireland,*NA,NA,Mr. J.F. Hewett.,NA,NA,NA,NA,1931,9,2,19310902,Delphinus,delphis,5,Common dolphin
6268,1009,1931/32,02/09/1931,Common dolphin,Delphinus delphis,"Donegal, EIRE",54.9739,-8.4283,"Keadue Strand, Dungloe",NA,M,NA,NA,NA,NA,alive,NA,1931,32,NA,02-Nov-90,23-Dec-08,3706,ZK0048,ZK0048,NA,NA,NA,S.Ireland,*NA,NA,Mr. J.F. Hewett.,NA,NA,NA,NA,1931,9,2,19310902,Delphinus,delphis,5,Common dolphin
6269,1010,1931/33,08/09/1931,Unknown odontocete  ,Unknown odontocete ,Northumberland,55.5606,-1.6306,"Beadnell, Berwick on Tweed",NU234297,S,NA,NA,NA,NA,NA,NA,1931,33,NA,02-Nov-90,23-Dec-08,1647,ZK0040,ZK0127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1931,9,8,19310908,odontocete,sp.indet.,1,Unidentified Odontocetes
6270,1011,1931/34,31/08/1931,Harbour porpoise,Phocoena phocoena,Lincolnshire,53.3447,0.2678,Mablethorpe,TF510854,S,F,No,5'1'',1.55,NA,NA,1931,34,NA,02-Nov-90,23-Dec-08,1974,ZK0085,ZK0085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1931,8,31,19310831,Phocoena,phocoena,1,Common Porpoise
6271,1012,1931/35,07/10/1931,NA,NA,"Ross & Cromarty, Scotland",57.5013,-4.421,"Bellvue, Muir of Ord, 3 miles N.W. of Beauly",NH550482,S,NA,No,25',7.62,NA,NA,1931,35,NA,02-Nov-90,23-Dec-08,2932,ZK0039,ZK0149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1931,10,7,19311007,cetacean,sp.indet.,2,Unidentified Cetaceans
6272,1013,1931/36,31/10/1931,Long-finned pilot whale,Globicephala melas,"Shetland Islands, Scotland",60.6013,-1.0637,Mid Yell,HU513912,S,F,No,6'7'',2.01,NA,NA,1931,36,NA,02-Nov-90,23-Dec-08,1135,ZK0079,ZK0079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1931,10,31,19311031,Globicephala,melaena,2,Long-finned Pilot Whale
6273,1014,1931/37,03/11/1931,NA,NA,"Orkney Islands, Scotland",59.2493,-2.5093,Sanday Island,HY710404,S,NA,Yes,24'-25',7.32-7.62,NA,NA,1931,37,NA,02-Nov-90,23-Dec-08,2933,ZK0039,ZK0149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1931,11,3,19311103,cetacean,sp.indet.,2,Unidentified Cetaceans
6274,1015,1931/38,06/11/1931,Harbour porpoise,Phocoena phocoena,Devon,51.2113,-4.0407,"Combe-Martin, (landed by fishermen at)",SS575477,S,NA,No,3',0.91,NA,NA,1931,38,NA,02-Nov-90,23-Dec-08,1975,ZK0085,ZK0085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1931,11,6,19311106,Phocoena,phocoena,1,Common Porpoise
6275,1016,1931/39,09/11/1931,Minke whale,Balaenoptera acutorostrata,"Wexford, EIRE",52.2766,-6.3752,Rosslare,NA,S,NA,No,28',8.53,NA,NA,1931,39,NA,02-Nov-90,23-Dec-08,366,ZK0132?,ZK0132?,NA,NA,NA,S.Ireland,*NA,NA,NA,NA,NA,NA,NA,1931,11,9,19311109,Balaenoptera,acutorostrata?,5,Lesser Rorqual
6276,1017,1931/40,07/12/1931,NA,NA,"Inverness, Scotland",57.4433,-7.2635,"Benbecula, Outer Hebrides",NF843514,S,NA,Yes,60'+,18.29+,decayed,NA,1931,40,NA,02-Nov-90,23-Dec-08,2934,ZK0039,ZK0149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1931,12,7,19311207,cetacean,sp.indet.,2,Unidentified Cetaceans
6277,1018,1932/1,05/01/1932,Long-finned pilot whale,Globicephala melas,Cornwall,50.3533,-5.1593,Perranporth,SW753551,M,NA,Yes,12'-14',3.66-4.27,NA,NA,1932,1,NA,02-Nov-90,23-Dec-08,1136,ZK0079,ZK0079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1932,1,5,19320105,Globicephala,melaena,1,Long-finned Pilot Whale
6278,1019,1932/1,05/01/1932,Long-finned pilot whale,Globicephala melas,Cornwall,50.3533,-5.1593,Perranporth,SW753551,M,NA,Yes,12'-14',3.66-4.27,NA,NA,1932,1,NA,19-Jul-93,23-Dec-08,4,ZK0079,ZK0079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1932,1,5,19320105,Globicephala,melaena,1,Long-finned Pilot Whale
6279,1020,1932/1,05/01/1932,Long-finned pilot whale,Globicephala melas,Cornwall,50.3533,-5.1593,Perranporth,SW753551,M,NA,Yes,12'-14',3.66-4.27,NA,NA,1932,1,NA,19-Jul-93,23-Dec-08,5,ZK0079,ZK0079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1932,1,5,19320105,Globicephala,melaena,1,Long-finned Pilot Whale
6280,1021,1932/1,05/01/1932,Long-finned pilot whale,Globicephala melas,Cornwall,50.3533,-5.1593,Perranporth,SW753551,M,NA,Yes,12'-14',3.66-4.27,NA,NA,1932,1,NA,19-Jul-93,23-Dec-08,6,ZK0079,ZK0079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1932,1,5,19320105,Globicephala,melaena,1,Long-finned Pilot Whale
6281,1022,1932/1,05/01/1932,Long-finned pilot whale,Globicephala melas,Cornwall,50.3533,-5.1593,Perranporth,SW753551,M,NA,Yes,12'-14',3.66-4.27,NA,NA,1932,1,NA,19-Jul-93,23-Dec-08,7,ZK0079,ZK0079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1932,1,5,19320105,Globicephala,melaena,1,Long-finned Pilot Whale
6282,1023,1932/1,05/01/1932,Long-finned pilot whale,Globicephala melas,Cornwall,50.3533,-5.1593,Perranporth,SW753551,M,NA,Yes,12'-14',3.66-4.27,NA,NA,1932,1,NA,19-Jul-93,23-Dec-08,8,ZK0079,ZK0079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1932,1,5,19320105,Globicephala,melaena,1,Long-finned Pilot Whale
6283,1024,1932/1,05/01/1932,Long-finned pilot whale,Globicephala melas,Cornwall,50.3533,-5.1593,Perranporth,SW753551,M,NA,Yes,12'-14',3.66-4.27,NA,NA,1932,1,NA,19-Jul-93,23-Dec-08,9,ZK0079,ZK0079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1932,1,5,19320105,Globicephala,melaena,1,Long-finned Pilot Whale
6284,1025,1932/1,05/01/1932,Long-finned pilot whale,Globicephala melas,Cornwall,50.3533,-5.1593,Perranporth,SW753551,M,NA,Yes,12'-14',3.66-4.27,NA,NA,1932,1,NA,19-Jul-93,23-Dec-08,10,ZK0079,ZK0079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1932,1,5,19320105,Globicephala,melaena,1,Long-finned Pilot Whale
6285,1026,1932/2,09/01/1932,Common dolphin,Delphinus delphis,"Orkney Islands, Scotland",NA,NA,"Bay of Suckquay, Mainland",NA,M,NA,No,6'4'',1.93,NA,NA,1932,2,NA,02-Nov-90,23-Dec-08,758,ZK0048,ZK0048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1932,1,9,19320109,Delphinus,delphis,2,"a)Common dolphin. b)''1932, 9 January, 2 West Mainland, 1.9 & 1.8m.'' Booth & Booth, 1994, p.25."
6286,1027,1932/2,09/01/1932,Common dolphin,Delphinus delphis,"Orkney Islands, Scotland",NA,NA,"Bay of Suckquay, Mainland",NA,M,NA,No,6',1.83,NA,NA,1932,2,NA,02-Nov-90,23-Dec-08,759,ZK0048,ZK0048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1932,1,9,19320109,Delphinus,delphis,2,"a)Common dolphin. b)''1932, 9 January, 2 West Mainland, 1.9 & 1.8m.'' Booth & Booth, 1994, p.25."
6287,1028,1932/3,18/01/1932,Fin whale,Balaenoptera physalus,"Pembrokeshire, Wales",51.674,-4.6975,Tenby,SN135006,S,NA,No,35',10.67,NA,part skull,1932,3,NA,02-Nov-90,23-Dec-08,2637,ZK0135?,ZK0135?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1932,1,18,19320118,Balaenoptera,physalus?,3,Fin Whale
6288,1029,1932/4,19/01/1932,NA,NA,Cornwall,50.2285,-5.3963,"Gwithian, Hayle",SW578420,S,NA,No,13',3.96,NA,NA,1932,4,NA,02-Nov-90,23-Dec-08,2935,ZK0039,ZK0149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1932,1,19,19320119,cetacean,sp.indet.,1,"a)Unidentified Cetaceans. b)Entry found with no length, but Fraser,   1934, p.12 (which gives location Hayle, Cornwall, not Gwithian,       Hayle, Cornwall)."
6289,1030,1932/5,21/01/1932,Long-finned pilot whale,Globicephala melas,"Carnarvon, Wales",52.8561,-4.4747,"Llanbedrog, Cardigan Bay",SH334315,S,NA,No,11'2'',3.4,NA,NA,1932,5,NA,02-Nov-90,23-Dec-08,1137,ZK0079,ZK0079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1932,1,21,19320121,Globicephala,melaena,3,Long-finned Pilot Whale
6290,1031,1932/6,26/01/1932,Harbour porpoise,Phocoena phocoena,Cornwall,50.1005,-5.4174,"Prussia Cove, Marazion",SW557278,S,M,No,5'2'',1.57,NA,NA,1932,6,NA,02-Nov-90,23-Dec-08,1976,ZK0085,ZK0085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1932,1,26,19320126,Phocoena,phocoena,1,Common Porpoise
