step,epoch,val_loss,train_loss
99,0,12.754801750183105,
99,0,,10.587050437927246
199,1,12.781060218811035,
199,1,,10.125286102294922
299,2,12.8978853225708,
299,2,,10.064062118530273
399,3,12.812249183654785,
399,3,,10.154593467712402
499,4,12.850739479064941,
499,4,,10.028829574584961
599,5,12.84018611907959,
599,5,,10.053152084350586
