epoch,val_loss,step,train_loss
78,,7899,11.3551664352417
79,,7999,11.321650505065918
80,,8099,11.327574729919434
81,,8199,11.347272872924805
82,,8299,11.283940315246582
83,,8399,11.196189880371094
84,,8499,11.210659980773926
85,,8599,11.27086067199707
86,,8699,11.222938537597656
87,,8799,11.17498779296875
88,,8899,11.210619926452637
89,,8999,11.245444297790527
90,,9099,11.200204849243164
91,,9199,11.22355842590332
92,,9299,11.108895301818848
93,,9399,11.17581558227539
94,,9499,11.238988876342773
95,,9599,11.220367431640625
96,,9699,11.192131042480469
97,,9799,11.094182968139648
98,,9899,11.185338973999023
99,,9999,11.23355484008789
100,,10099,11.188946723937988
101,,10199,11.153307914733887
102,,10299,11.14155387878418
103,,10399,11.226062774658203
104,,10499,11.210823059082031
105,,10599,11.287827491760254
106,,10699,11.193439483642578
107,,10799,11.231021881103516
108,,10899,11.218414306640625
109,,10999,11.146668434143066
110,,11099,11.119489669799805
111,,11199,11.113293647766113
112,,11299,11.112619400024414
113,,11399,11.105568885803223
114,,11499,11.075940132141113
115,,11599,11.163631439208984
116,,11699,11.133996963500977
117,,11799,11.1262845993042
118,,11899,11.1209135055542
119,,11999,11.110939025878906
120,,12099,11.111625671386719
121,,12199,11.107697486877441
122,,12299,11.091192245483398
123,,12399,11.129345893859863
124,,12499,11.122974395751953
125,,12599,11.088434219360352
126,,12699,11.064043045043945
127,,12799,11.039306640625
128,,12899,11.05688190460205
129,,12999,11.031713485717773
130,,13099,11.047016143798828
131,,13199,11.056663513183594
132,,13299,11.003549575805664
133,,13399,10.977551460266113
134,,13499,11.0445556640625
135,,13599,11.085770606994629
136,,13699,11.04150676727295
137,,13799,11.043804168701172
138,,13899,11.064228057861328
139,,13999,11.003414154052734
140,,14099,11.0150146484375
141,,14199,11.035579681396484
142,,14299,11.055179595947266
143,,14399,11.057665824890137
144,,14499,11.06608772277832
145,,14599,11.014734268188477
146,,14699,10.972204208374023
147,,14799,10.9329195022583
148,,14899,10.979043006896973
149,,14999,10.97494888305664
150,,15099,10.980839729309082
151,,15199,10.94410514831543
152,,15299,10.952279090881348
153,,15399,10.917147636413574
154,,15499,10.981379508972168
155,,15599,10.997493743896484
156,,15699,10.945256233215332
157,,15799,10.957222938537598
158,,15899,10.982386589050293
159,,15999,10.934313774108887
160,,16099,10.946598052978516
161,,16199,10.93927001953125
162,,16299,10.92772102355957
163,,16399,10.933099746704102
164,,16499,10.944228172302246
165,,16599,10.922279357910156
166,,16699,10.925960540771484
167,,16799,10.900925636291504
168,,16899,10.931936264038086
169,,16999,10.930194854736328
170,,17099,10.92144775390625
171,,17199,10.904702186584473
172,,17299,10.906036376953125
173,,17399,10.907073020935059
174,,17499,10.904609680175781
175,,17599,10.957693099975586
176,,17699,10.930058479309082
177,,17799,10.916886329650879
178,,17899,10.934041976928711
179,,17999,10.94438362121582
180,,18099,10.89230728149414
181,,18199,10.92120361328125
182,,18299,10.889610290527344
183,,18399,10.889822959899902
184,,18499,10.878432273864746
185,,18599,10.904084205627441
186,,18699,10.88953971862793
187,,18799,10.888854026794434
188,,18899,10.886513710021973
189,,18999,10.91080093383789
190,,19099,10.861249923706055
191,,19199,10.865944862365723
192,,19299,10.877254486083984
193,,19399,10.878470420837402
194,,19499,10.904802322387695
195,,19599,10.888837814331055
196,,19699,10.91845703125
197,,19799,10.912396430969238
198,,19899,10.89509391784668
199,,19999,10.907544136047363
200,,20099,10.886094093322754
201,,20199,10.898371696472168
202,,20299,10.872503280639648
203,,20399,10.89486312866211
204,,20499,10.867552757263184
205,,20599,10.89905071258545
206,,20699,10.878244400024414
207,,20799,10.873130798339844
208,,20899,10.860655784606934
209,,20999,10.863885879516602
210,,21099,10.881901741027832
211,,21199,10.894966125488281
212,,21299,10.929210662841797
213,,21399,10.880019187927246
214,,21499,10.90955924987793
215,,21599,10.859466552734375
216,,21699,10.887272834777832
217,,21799,10.868363380432129
218,,21899,10.88542366027832
219,,21999,10.853691101074219
220,,22099,10.88138198852539
221,,22199,10.869184494018555
222,,22299,10.875683784484863
223,,22399,10.873200416564941
224,,22499,10.847850799560547
225,,22599,10.853315353393555
226,,22699,10.847918510437012
227,,22799,10.87314224243164
228,,22899,10.852237701416016
229,,22999,10.871713638305664
230,,23099,10.8646879196167
231,,23199,10.870041847229004
232,,23299,10.891634941101074
233,,23399,10.878745079040527
234,,23499,10.897010803222656
235,,23599,10.859539985656738
236,,23699,10.849595069885254
237,,23799,10.859704971313477
238,,23899,10.871808052062988
239,,23999,10.890751838684082
240,,24099,10.846549034118652
241,,24199,10.876823425292969
242,,24299,10.870770454406738
243,,24399,10.872601509094238
244,,24499,10.869545936584473
245,,24599,10.896248817443848
246,,24699,10.873817443847656
247,,24799,10.866599082946777
248,,24899,10.837904930114746
249,,24999,10.893538475036621
250,,25099,10.892688751220703
251,,25199,10.856257438659668
252,,25299,10.908957481384277
253,,25399,10.862884521484375
254,,25499,10.854100227355957
255,,25599,10.863186836242676
256,,25699,10.874018669128418
257,,25799,10.861449241638184
258,,25899,10.848352432250977
259,,25999,10.8946533203125
260,,26099,10.868335723876953
261,,26199,10.882976531982422
262,,26299,10.852117538452148
263,,26399,10.886363983154297
264,,26499,10.868926048278809
265,,26599,10.892666816711426
266,,26699,10.867828369140625
267,,26799,10.854216575622559
268,,26899,10.875049591064453
269,,26999,10.875849723815918
270,,27099,10.862378120422363
271,,27199,10.865019798278809
272,,27299,10.868512153625488
273,,27399,10.870349884033203
274,,27499,10.864250183105469
275,,27599,10.862417221069336
276,,27699,10.848819732666016
277,,27799,10.869118690490723
278,,27899,10.880655288696289
279,,27999,10.860334396362305
280,,28099,10.854270935058594
281,,28199,10.880279541015625
282,,28299,10.891955375671387
283,,28399,10.87673568725586
284,,28499,10.867276191711426
285,,28599,10.846122741699219
286,,28699,10.837873458862305
287,,28799,10.851428031921387
288,,28899,10.894654273986816
289,,28999,10.880119323730469
290,,29099,10.832669258117676
291,,29199,10.867597579956055
292,,29299,10.869483947753906
293,,29399,10.839469909667969
294,,29499,10.881016731262207
295,,29599,10.857464790344238
296,,29699,10.852522850036621
297,,29799,10.849514961242676
298,,29899,10.864721298217773
299,,29999,10.90270709991455
