epoch,val_loss,step,train_loss
0,12.239952087402344,99,
0,,99,12.290905952453613
1,12.23995304107666,199,
1,,199,11.45034408569336
2,11.59579086303711,299,
2,,299,11.279918670654297
3,11.85483455657959,399,
3,,399,11.269107818603516
4,11.675933837890625,499,
4,,499,11.207797050476074
5,11.70838737487793,599,
5,,599,11.16611099243164
6,11.63491439819336,699,
6,,699,11.155006408691406
7,11.706185340881348,799,
7,,799,11.15570068359375
8,11.607624053955078,899,
8,,899,11.123666763305664
9,11.57841682434082,999,
9,,999,11.12701416015625
10,11.585244178771973,1099,
10,,1099,11.063185691833496
11,11.521608352661133,1199,
11,,1199,11.068428993225098
12,11.624701499938965,1299,
12,,1299,11.01298713684082
13,11.568195343017578,1399,
13,,1399,11.084694862365723
14,11.688986778259277,1499,
14,,1499,11.018031120300293
15,11.679064750671387,1599,
15,,1599,11.055039405822754
16,11.435158729553223,1699,
16,,1699,11.009254455566406
17,11.521810531616211,1799,
17,,1799,10.949869155883789
18,11.609014511108398,1899,
18,,1899,10.949634552001953
19,11.43693733215332,1999,
19,,1999,10.916009902954102
20,11.437355041503906,2099,
20,,2099,10.919100761413574
21,11.311192512512207,2199,
21,,2199,10.900162696838379
22,11.437277793884277,2299,
22,,2299,10.881256103515625
23,11.459877014160156,2399,
23,,2399,10.8804349899292
24,11.45826244354248,2499,
24,,2499,10.867297172546387
25,11.44919204711914,2599,
25,,2599,10.839761734008789
26,11.350898742675781,2699,
26,,2699,10.846107482910156
27,11.348840713500977,2799,
27,,2799,10.844003677368164
28,11.342950820922852,2899,
28,,2899,10.830160140991211
29,11.48727798461914,2999,
29,,2999,10.825723648071289
30,11.328640937805176,3099,
30,,3099,10.8496732711792
31,11.380367279052734,3199,
31,,3199,10.853532791137695
0,,99,12.760900497436523
1,,199,12.072779655456543
2,,299,11.899195671081543
3,,399,11.9199857711792
4,,499,11.866360664367676
5,,599,11.834939956665039
6,,699,11.755837440490723
7,,799,11.753959655761719
8,,899,11.704564094543457
9,,999,11.644664764404297
10,,1099,11.674088478088379
11,,1199,11.631061553955078
12,,1299,11.632397651672363
13,,1399,11.569169998168945
14,,1499,11.586830139160156
15,,1599,11.585039138793945
16,,1699,11.555606842041016
17,,1799,11.605884552001953
18,,1899,11.621707916259766
19,,1999,11.588947296142578
20,,2099,11.550832748413086
21,,2199,11.53113079071045
22,,2299,11.498504638671875
23,,2399,11.472302436828613
24,,2499,11.477518081665039
25,,2599,11.45661735534668
26,,2699,11.478802680969238
27,,2799,11.447467803955078
28,,2899,11.42738151550293
29,,2999,11.451744079589844
30,,3099,11.479907035827637
31,,3199,11.395467758178711
32,,3299,11.43977165222168
33,,3399,11.404036521911621
34,,3499,11.434798240661621
35,,3599,11.423890113830566
36,,3699,11.435888290405273
37,,3799,11.371723175048828
38,,3899,11.433213233947754
39,,3999,11.380995750427246
40,,4099,11.410124778747559
41,,4199,11.362761497497559
42,,4299,11.411813735961914
43,,4399,11.342646598815918
44,,4499,11.344707489013672
45,,4599,11.430006980895996
46,,4699,11.388304710388184
47,,4799,11.367040634155273
48,,4899,11.386565208435059
49,,4999,11.369710922241211
50,,5099,11.378421783447266
51,,5199,11.396736145019531
52,,5299,11.357504844665527
53,,5399,11.311553001403809
54,,5499,11.366065979003906
55,,5599,11.3656587600708
56,,5699,11.321471214294434
57,,5799,11.383500099182129
58,,5899,11.312430381774902
59,,5999,11.354844093322754
60,,6099,11.34408187866211
61,,6199,11.381608963012695
62,,6299,11.301750183105469
63,,6399,11.387655258178711
64,,6499,11.339159965515137
65,,6599,11.348169326782227
66,,6699,11.320450782775879
67,,6799,11.343807220458984
68,,6899,11.3270263671875
69,,6999,11.391833305358887
70,,7099,11.297477722167969
71,,7199,11.27193832397461
72,,7299,11.296988487243652
73,,7399,11.312616348266602
74,,7499,11.313854217529297
75,,7599,11.300458908081055
76,,7699,11.314142227172852
77,,7799,11.352935791015625
