val_loss,epoch,step,train_loss
15.111236572265625,0,99,
,0,99,11.911683082580566
14.567817687988281,1,199,
,1,199,11.461630821228027
14.550480842590332,2,299,
,2,299,11.311387062072754
13.965548515319824,3,399,
,3,399,11.337030410766602
14.134237289428711,4,499,
,4,499,11.297757148742676
13.093255043029785,5,599,
,5,599,11.311811447143555
13.830816268920898,6,699,
,6,699,11.270391464233398
14.223437309265137,7,799,
,7,799,11.259112358093262
14.813350677490234,8,899,
,8,899,11.27310562133789
14.358805656433105,9,999,
,9,999,11.273197174072266
13.937036514282227,10,1099,
,10,1099,11.272150993347168
