step,val_loss,epoch,train_loss
99,13.446036338806152,0,
99,,0,11.869195938110352
199,13.097151756286621,1,
199,,1,11.722204208374023
299,14.142361640930176,2,
299,,2,11.620800971984863
399,15.096271514892578,3,
399,,3,11.556682586669922
499,13.683183670043945,4,
499,,4,11.39885139465332
599,14.106935501098633,5,
599,,5,11.315853118896484
699,13.490403175354004,6,
699,,6,11.337711334228516
