val_loss,step,epoch,train_loss
12.03672981262207,99,0,
,99,0,11.819467544555664
12.448149681091309,199,1,
,199,1,11.386146545410156
11.69715690612793,299,2,
,299,2,11.355472564697266
11.725688934326172,399,3,
,399,3,11.238863945007324
11.442837715148926,499,4,
,499,4,11.195439338684082
11.522123336791992,599,5,
,599,5,11.137490272521973
11.533553123474121,699,6,
,699,6,11.068970680236816
11.408434867858887,799,7,
,799,7,10.979928970336914
11.455050468444824,899,8,
,899,8,10.889416694641113
11.352132797241211,999,9,
,999,9,10.850071907043457
11.30225944519043,1099,10,
,1099,10,10.790722846984863
11.34969425201416,1199,11,
,1199,11,10.794939994812012
11.385868072509766,1299,12,
,1299,12,10.741074562072754
11.465396881103516,1399,13,
,1399,13,10.814245223999023
11.434805870056152,1499,14,
,1499,14,10.724335670471191
11.537271499633789,1599,15,
,1599,15,10.769801139831543
11.393784523010254,1699,16,
,1699,16,10.728716850280762
11.474821090698242,1799,17,
,1799,17,10.721227645874023
11.645758628845215,1899,18,
,1899,18,10.696102142333984
11.347128868103027,1999,19,
,1999,19,10.6899995803833
11.550381660461426,2099,20,
,2099,20,10.693415641784668
,99,0,12.283095359802246
,199,1,11.996959686279297
,299,2,11.828832626342773
,399,3,11.739737510681152
,499,4,11.728860855102539
,599,5,11.635333061218262
,699,6,11.56658935546875
,799,7,11.582823753356934
,899,8,11.448747634887695
,999,9,11.496530532836914
,1099,10,11.487784385681152
,1199,11,11.449029922485352
,1299,12,11.433048248291016
,1399,13,11.405296325683594
,1499,14,11.412371635437012
,1599,15,11.402525901794434
,1699,16,11.404672622680664
,1799,17,11.34996223449707
,1899,18,11.337703704833984
,1999,19,11.293682098388672
,2099,20,11.380395889282227
,2199,21,11.313471794128418
,2299,22,11.312972068786621
,2399,23,11.300481796264648
,2499,24,11.298828125
,2599,25,11.318528175354004
,2699,26,11.246196746826172
,2799,27,11.275601387023926
,2899,28,11.26765251159668
,2999,29,11.256802558898926
,3099,30,11.243871688842773
,3199,31,11.25704574584961
,3299,32,11.256299018859863
,3399,33,11.230295181274414
,3499,34,11.246243476867676
,3599,35,11.289405822753906
,3699,36,11.238605499267578
,3799,37,11.220800399780273
,3899,38,11.224465370178223
,3999,39,11.209136962890625
,4099,40,11.160846710205078
,4199,41,11.205456733703613
,4299,42,11.1807279586792
,4399,43,11.207845687866211
,4499,44,11.21692180633545
,4599,45,11.192732810974121
,4699,46,11.183267593383789
,4799,47,11.19401741027832
,4899,48,11.150738716125488
,4999,49,11.168625831604004
12.029924392700195,99,0,
,99,0,12.108882904052734
12.194816589355469,199,1,
,199,1,11.673500061035156
11.775971412658691,299,2,
,299,2,11.568737030029297
11.750868797302246,399,3,
,399,3,11.462331771850586
11.781984329223633,499,4,
,499,4,11.407369613647461
11.548155784606934,599,5,
,599,5,11.284499168395996
11.611812591552734,699,6,
,699,6,11.282471656799316
11.64483642578125,799,7,
,799,7,11.2012357711792
11.470477104187012,899,8,
,899,8,11.219870567321777
11.557534217834473,999,9,
,999,9,11.159401893615723
11.529901504516602,1099,10,
,1099,10,11.132390975952148
11.410218238830566,1199,11,
,1199,11,11.130282402038574
11.552408218383789,1299,12,
,1299,12,11.121089935302734
11.537215232849121,1399,13,
,1399,13,11.071242332458496
11.587540626525879,1499,14,
,1499,14,11.133597373962402
11.589864730834961,1599,15,
,1599,15,11.051961898803711
11.4388427734375,1699,16,
,1699,16,11.029515266418457
11.544145584106445,1799,17,
,1799,17,11.026662826538086
11.469176292419434,1899,18,
,1899,18,11.045753479003906
11.697990417480469,1999,19,
,1999,19,11.02196979522705
11.564867973327637,2099,20,
,2099,20,10.999744415283203
11.41522216796875,2199,21,
,2199,21,10.977442741394043
11.36390495300293,2299,22,
,2299,22,10.964625358581543
11.258101463317871,2399,23,
,2399,23,10.975998878479004
11.547907829284668,2499,24,
,2499,24,10.963892936706543
11.407530784606934,2599,25,
,2599,25,10.962254524230957
11.410896301269531,2699,26,
,2699,26,10.968353271484375
11.357955932617188,2799,27,
,2799,27,10.938119888305664
11.31484317779541,2899,28,
,2899,28,10.979482650756836
11.353572845458984,2999,29,
,2999,29,10.954021453857422
11.662983894348145,3099,30,
,3099,30,10.94404411315918
11.415935516357422,3199,31,
,3199,31,10.947997093200684
11.477538108825684,3299,32,
,3299,32,10.947840690612793
11.369243621826172,3399,33,
,3399,33,10.888845443725586
11.35012149810791,3499,34,
,3499,34,10.93054485321045
11.318196296691895,3599,35,
,3599,35,10.843090057373047
11.403294563293457,3699,36,
,3699,36,10.776872634887695
11.32315731048584,3799,37,
,3799,37,10.820910453796387
11.45602798461914,3899,38,
,3899,38,10.798066139221191
11.29037094116211,3999,39,
,3999,39,10.821044921875
11.305261611938477,4099,40,
,4099,40,10.796651840209961
11.427163124084473,4199,41,
,4199,41,10.812089920043945
11.423364639282227,4299,42,
,4299,42,10.815130233764648
11.495911598205566,4399,43,
,4399,43,10.748356819152832
11.306763648986816,4499,44,
,4499,44,10.7670259475708
11.244361877441406,4599,45,
,4599,45,10.769084930419922
11.468235969543457,4699,46,
,4699,46,10.808967590332031
11.408834457397461,4799,47,
,4799,47,10.770776748657227
11.411803245544434,4899,48,
,4899,48,10.800315856933594
11.421695709228516,4999,49,
,4999,49,10.801652908325195
