epoch,train_loss,step
0,12.273943901062012,99
1,11.910004615783691,199
2,11.779911994934082,299
3,11.666987419128418,399
4,11.589582443237305,499
5,11.551552772521973,599
6,11.532522201538086,699
7,11.474640846252441,799
8,11.479704856872559,899
9,11.445959091186523,999
