val_loss,epoch,step,train_loss
14.362019538879395,0,99,
,0,99,11.879183769226074
15.051680564880371,1,199,
,1,199,11.606666564941406
14.168805122375488,2,299,
,2,299,11.426399230957031
13.77054500579834,3,399,
,3,399,11.392230033874512
14.64022445678711,4,499,
,4,499,11.341545104980469
14.812379837036133,5,599,
,5,599,11.295424461364746
13.611394882202148,6,699,
,6,699,11.312355041503906
14.575304985046387,7,799,
,7,799,11.25927734375
14.097761154174805,8,899,
,8,899,11.362035751342773
14.224234580993652,9,999,
,9,999,11.26375961303711
14.485496520996094,10,1099,
,10,1099,11.296821594238281
14.24394702911377,11,1199,
,11,1199,11.290637969970703
