step,epoch,val_loss,train_loss
99,0,13.508026123046875,
99,0,,11.841774940490723
199,1,14.45277214050293,
199,1,,11.612059593200684
299,2,14.256729125976562,
299,2,,11.520813941955566
399,3,14.329550743103027,
399,3,,11.358122825622559
499,4,14.514297485351562,
499,4,,11.3206205368042
599,5,14.750287055969238,
599,5,,11.28989028930664
